number,grade,module,week,question_stem,choice,correct_answer
33,6,3,2,1. 心交感神经节前纤维释放的神经递质(2.5分),A.血管升压素 B.去甲肾上腺素 C.乙酰胆碱 D.谷氨酸 E.γ－氨基丁酸,C.乙酰胆碱
34,6,3,2,2. 能使动脉血压波幅增大的原因是(2.5分),A.大动脉硬化 B.房室瓣狭窄 C.主动脉瓣狭窄 D.心动过速 E.小动脉硬化,A.大动脉硬化
35,6,3,2,3. 心迷走神经节后纤维起始于(2.5分),A.星状神经节 B.疑核 C.孤束核 D.迷走背核 E.心内神经节,E.心内神经节
36,6,3,2,4. 关于动脉血压的叙述，正确的是(2.5分),A.男、女性的动脉血压均随年龄的增长而逐渐升高 B.主动脉血压和左心室内压的变动幅度是相同的 C.其他因素不变时，心率加快使脉压增大 D.平均动脉压是收缩压和舒张压的平均值 E.其他因素不变时，外周阻力加大使脉压增大,A.男、女性的动脉血压均随年龄的增长而逐渐升高
37,6,3,2,5. 下列关于微循环血流动力学的描述，正确的是(2.5分),A.毛细血管前括约肌对血流量控制起主要作用 B.毛细血管前后阻力比约为2∶1 C.毛细血管前括约肌交替收缩和舒张50次/分钟 D.安静状态下同一时间内约20％的毛细血管处于开放状态 E.毛细血管前括约肌的舒缩主要受血中儿茶酚胺调节,D.安静状态下同一时间内约20％的毛细血管处于开放状态
38,6,3,2,6. 静脉注射去甲肾上腺素后，动脉血压升高，心率减慢。心率改变的主要机制是(2.5分),A.去甲肾上腺素对心脏房室交界传导的抑制作用 B.降压反射活动加强 C.心肺感受器反射活动加强 D.去甲肾上腺素对心脏的直接抑制作用 E.与心肌肾上腺素能 受体结合的效应,B.降压反射活动加强
39,6,3,2,7. 下列哪种情况下，动脉脉搏图上可不出现降中峡？(2.5分),A.主动脉瓣狭窄 B.主动脉弹性减退 C.主动脉血压升高 D.每搏输出量减少 E.主动脉关闭不全,E.主动脉关闭不全
40,6,3,2,8. 下列关于心肺感受器兴奋引起的反射效应叙述中，哪一项是错误的？(2.5分),A.血管升压素释放增多，肾排水增多 B.外周血管阻力降低，血压下降 C.肾血流量增加，肾排水排钠量增多 D.心率减慢，心输出量减少 E.交感紧张降低，心迷走紧张加强,A.血管升压素释放增多，肾排水增多
41,6,3,2,9. 关于中心静脉压的描述，正确的是(2.5分),A.指左心房和肺静脉的血压 B.心功能不全时，中心静脉压降低 C.正常值为4～12 mmHg D.卧位转为直立时，中心静脉压升高 E.过敏性休克时，中心静脉压降低,E.过敏性休克时，中心静脉压降低
42,6,3,2,10. 关于毛细血管特点的描述，错误的是(2.5分),A.血流速度慢 B.总横截面积大 C.血流阻力大 D.管壁通透性高 E.血容量大,C.血流阻力大
43,6,3,2,11. 下列哪一项可减少静脉回流？(2.5分),A.交感神经兴奋 B.由立位转为慢走 C.由吸气转为呼气 D.由立位转为卧位 E.心脏射血能力加强,C.由吸气转为呼气
44,6,3,2,12. 主动脉管壁硬化可使(2.5分),A.脉搏波传播加快 B.舒张压升高 C.弹性贮器作用增大 D.收缩压降低 E.心缩期主动脉内血流减慢,A.脉搏波传播加快
45,6,3,2,13. Losartan的主要作用是 (2.5分),A.阻断AT1受体 B.兴奋AT1受体 C.阻断β受体 D.抑制ACE E.阻断钙离子通道,A.阻断AT1受体
46,6,3,2,14. 影响毛细血管前括约肌舒缩的主要因素是(2.5分),A.去甲肾上腺素 B.乙酰胆碱 C.多巴胺 D.γ－氨基丁酸 E.代谢产物和氧分压,E.代谢产物和氧分压
47,6,3,2,15. 组织液生成的有效滤过压等于(2.5分),A.（毛细血管血压＋组织液静水压）－（血浆胶体渗透压＋组织液胶体渗透压） B.（毛细血管血压＋血浆胶体渗透压）－（组织液静水压＋组织液胶体渗透压） C.（血浆胶体渗透压＋组织液胶体渗透压）－（毛细血管血压＋组织液静水压） D.（毛细血管血压＋组织液胶体渗透压）－（组织液静水压＋血浆胶体渗透压） E.（组织液静水压＋血浆胶体渗透压）－（毛细血管血压＋组织液胶体渗透压）,D.（毛细血管血压＋组织液胶体渗透压）－（组织液静水压＋血浆胶体渗透压）
48,6,3,2,16. Captopril 的抗高血压作用机制是(2.5分),A.抑制肾素活性 B.抑制血管紧张素转化酶Ⅰ的活性 C.抑制血管紧张素I的生成  D.抑制β-羟化酶的活性 E.阻断血管紧张素Ⅱ受体,B.抑制血管紧张素转化酶Ⅰ的活性
49,6,3,2,17. 心交感神经兴奋后，对心肌细胞的影响是(2.5分),A.自律细胞4期If 电流减少 B.肌质网对Ca2+ 的摄取减慢 C.肌质网释放Ca2+ 减少 D.P细胞动作电位0期速度和幅度加大 E.平台期Ca2+ 内流减少,D.P细胞动作电位0期速度和幅度加大
50,6,3,2,18. 下列哪一药物是α1、α2受体阻断药？(2.5分),A.Noradrenaline B.Atenolol C.Propranolol D.Prazosin E.Phentolamine,E.Phentolamine
