,grade,module,week,question_stem,choice,correct_answer
501,7,5,5,1. 肾综合征出血热主要临床表现为： (2.0分),A.脉缓、肝脾肿大、玫瑰疹、高热、寒战、意识障碍、颈项强直 B.发热、休克、充血、出血、急性肾功能衰竭 C.发热、休克、充血、出血、爆发性肝炎 D.发热、休克、充血、出血、全身浅表淋巴结肿大,B.发热、休克、充血、出血、急性肾功能衰竭
502,7,5,5,2. 干扰素(IFN)抗病毒的作用机制是(2.0分),A.干扰病毒的穿入 B.直接干扰病毒mRNA的转录  C.诱导邻近细胞产生抗病毒蛋白 D.干扰病毒的吸附 E.干扰病毒的释放,C.诱导邻近细胞产生抗病毒蛋白
503,7,5,5,3. 不能经垂直感染的病毒是(2.0分),A.风疹病毒 B.巨细胞病毒 C.乙型肝炎病毒 D.脊髓灰质炎病毒 E.单纯疱疹病毒,D.脊髓灰质炎病毒
504,7,5,5,4. 关于以"出芽"方式从宿主细胞中释放病毒的描述，不正确的是(2.0分),A.为有包膜病毒 B.编码的蛋白抗原可整合到宿主细胞膜上 C.成为杀宿主细胞的病毒  D.病毒的包膜含有宿主细胞膜的脂类和糖类物质,C.成为杀宿主细胞的病毒 
505,7,5,5,5. 以下哪项不是创伤后并发休克的原因？ (2.0分),A.脊髓受损 B.失血过多   C.神经系统受到强烈刺激 D.急性肾衰竭 E.伤后并发严重的脓毒症,D.急性肾衰竭
506,7,5,5,6. 关于流行性感冒下列哪项是错误的(2.0分),A.由流行性感冒病毒引起 B.甲型流感易发生变异 C.临床表现以上呼吸道症状较重 D.发热及全身中毒症状较重,C.临床表现以上呼吸道症状较重
507,7,5,5,7. 对甲型流感病毒抗原转变的错误叙述是(2.0分),A.抗原转变造成新型流感病毒出现      B.亚型变异是指HA大变异，NA不变或小变异 C.大组变异是指HA和NA均变异      D.禽流感病毒和人流感病毒共同感染猪可产生新亚型,A.抗原转变造成新型流感病毒出现     
508,7,5,5,8. 肾综合征出血热的原发性休克的原因，正确的是：(2.0分),A.血管通透性增加，血浆外渗，血容量下降 B.血管通透性增加，大出血，血浆外渗 C.继发感染，大出血，血浆外渗 D.大出血，血浆外渗，血容量下降,A.血管通透性增加，血浆外渗，血容量下降
509,7,5,5,9. 抑制HIV病毒的药物(2.0分),A.Ribavirin (利巴韦林) B.Idoxuridine (碘苷) C.Aciclovir (阿昔洛韦) D.Zidovudine(齐多夫定) E.Vidarabine (阿糖腺苷),D.Zidovudine(齐多夫定)
510,7,5,5,10. 男，24岁，因车禍伤急诊入院。经体检及辅助检查初步诊断为：骨盆骨折合并尿道损伤和创伤性休克。对该病人的处理顺序应该是： (2.0分),A.先行骨盆骨折牵引固定，其次抗休克，然后处理尿道损伤 B.先抗休克，其次处理尿道损伤，然后行骨盆骨折牵引固定 C.先处理尿道损伤，其次抗休克，然后行骨盆骨折牵引固定 D.先抗休克，其次行骨盆骨折牵引固定，然后处理尿道损伤 E.先处理尿道损伤，其次行骨盆骨折牵引固定，然后抗休克,B.先抗休克，其次处理尿道损伤，然后行骨盆骨折牵引固定
511,7,5,5,11. 流行性乙型脑炎导致死亡的主要原因为：(2.0分),A.高热 B.循环功能衰竭 C.抽搐 D.呼吸功能衰竭,D.呼吸功能衰竭
512,7,5,5,12. 病毒抑制细胞mRNA转译，是由于(2.0分),A.病毒mRNA转译效力强 B.病毒诱导干扰素生成 C.病毒合成RNA酶  D.病毒使细胞形成新抗原,A.病毒mRNA转译效力强
513,7,5,5,13. 在儿童初次感染时表现为水痘，老年复发则引起带状疱疹的病毒是(2.0分),A.CMV B.HSV  C.VZV D.EB病毒,C.VZV
514,7,5,5,14. 关于流行性乙型脑炎，下述错误的是(2.0分),A.测定体内特异性IgM抗体可作出早期诊断 B.主要传播媒介是伊蚊 C.幼猪是主要的传染源和中间宿主 D.病后免疫力持久,B.主要传播媒介是伊蚊
515,7,5,5,15. 汉坦病毒的传播媒介是(2.0分),A.虱叮咬 B.三带喙库蚊叮咬 C.跳蚤叮咬 D.螨叮咬,D.螨叮咬
516,7,5,5,16. 对疱疹病毒的错误叙述是(2.0分),A.均为双股DNA有包膜病毒 B.免疫力低下者在原发感染后形成潜伏感染 C.主要通过接触传播 D.婴幼儿感染多为隐性感染,B.免疫力低下者在原发感染后形成潜伏感染
517,7,5,5,17. 抗菌谱广，不良反应小的抗真菌药是 (2.0分),A.Miconazole（咪康唑） B.Itraconazole (伊曲康唑) C.Ketoconazole（酮康唑）  D.Fluconazol（氟康唑） E.Flucytosine（氟胞嘧啶）,B.Itraconazole (伊曲康唑)
518,7,5,5,18. 对DNA病毒和RNA病毒均有抑制作用的是(2.0分),A.Ribavirin (利巴韦林) B.Vidarabine (阿糖腺苷) C.Ganciclovir(更昔洛韦) D.Aciclovir (阿昔洛韦) E.Idoxuridine (碘苷),A.Ribavirin (利巴韦林)
519,7,5,5,19. 有关脊髓灰质炎减毒活疫苗（Sabin疫苗）的描述，不正确的是(2.0分),A.可迅速产生肠道局部免疫，及时阻断野病毒的传播 B.可能发生神经毒力回复突变，导致麻痹型疫苗相关病例（VAPP）的发生 C.疫苗接种后，可产生体液和细胞免疫，类似自然感染 D.疫苗可置室温下长期保存,D.疫苗可置室温下长期保存
520,7,5,5,20. 下列哪一个药物是单纯疱疹病毒感染的首选药物？  (2.0分),A.Zidovudine (齐多夫定) B.Aciclovir (阿昔洛韦) C.Glucocorticoids（糖皮质激素） D.Lamivudine (拉米夫定) E.Vidarabine (阿糖腺苷),B.Aciclovir (阿昔洛韦)
521,7,5,5,21. 流行性乙型脑炎有早期诊断意义的血清学试验是：(2.0分),A.血凝抑制试验 B.补体结合试验 C.中和试验 D.特异性IgM抗体试验,D.特异性IgM抗体试验
522,7,5,5,22. 流行性感冒确诊的方法：(2.0分),A.病毒分离 B.呼吸道症状轻微而全身中毒症状重 C.发病季节 D.血凝抑制试验,A.病毒分离
