,grade,module,week,question_stem,choice,answer
121,6,8,4,1. 甲状腺手术时，患者突然出现呼吸困难、失音和发绀，应考虑为(3.0分),A.一侧喉返神经损伤 B.喉头水肿 C.血肿压迫气管 D.双侧喉返神经损伤 E.双侧喉上神经损伤,D.双侧喉返神经损伤
122,6,8,4,2. 关于右喉返神经的描述，哪个是错误的？(3.0分),A.绕过锁骨下动脉上行 B.手术时，损伤的机会比左侧多 C.在气管、食管沟内上行 D.行程较左后方神经斜，位置也较深 E.严格的囊内手术，不致损伤该神经,D.行程较左后方神经斜，位置也较深
123,6,8,4,3. 与喉上动脉伴行的神经是 (3.0分),A.喉上神经喉内支 B.舌神经 C.喉上神经喉外支 D.喉返神经 E.舌下神经,A.喉上神经喉内支
124,6,8,4,4. 甲状腺真假被膜间有(3.0分),A.喉返神经 B.甲状旁腺、静脉丛 C.喉上神经 D.甲状腺悬韧带 E.喉返神经和甲状腺下动脉,B.甲状旁腺、静脉丛
125,6,8,4,5. 舌动脉 (3.0分),A.在舌骨大角上方，行于舌骨舌肌浅面 B.与舌神经伴行 C.在舌骨大角上方，行于舌骨舌肌深面 D.在甲状软骨上缘起自颈外动脉 E.主要营养舌、下颌下腺和喉,C.在舌骨大角上方，行于舌骨舌肌深面
126,6,8,4,6. 甲患抑郁症欲自杀，但无自杀勇气。某晚，甲用事前准备的刀猛刺路人乙胸部，致乙当场死亡。随后，甲向司法机关自首，要求司法机关判处其死刑立即执行。对于甲责任能力的认定，下列哪一选项是正确的？ (3.0分),A.抑郁症不是严重精神病，但甲的想法表明其没有责任能力，不承担故意杀人罪的责任 B.抑郁症属于严重精神病，甲没有责任能力，不承担故意杀人罪的责任 C.甲虽患有抑郁症，但具有责任能力，应当承担故意杀人罪的责任 D.甲具有责任能力，但患有抑郁症，应当对其从轻或者减轻处罚,C.甲虽患有抑郁症，但具有责任能力，应当承担故意杀人罪的责任
127,6,8,4,7. 情绪不包括： (3.0分),A.爱 B.恐惧 C.恨 D.知觉,D.知觉
128,6,8,4,8. 以下有关自杀的危险信号哪一条是正确的(3.0分),A.不能与有自杀可能性的人谈自杀  B.由于想自杀的人大多有精神异常，故应及早接受系统的抗精神病药物治疗 C.自杀危机过后，情况转好，自杀的危险性依然存在  D.表明想自杀的人通常不会自杀 E.有自杀行为的人都是想死的,C.自杀危机过后，情况转好，自杀的危险性依然存在 
129,6,8,4,9. 甲状腺手术结扎甲状腺下动脉时，为了避免损伤喉返神经，结扎宜在(3.0分),A.尽量靠近腺体进行 B.在腺体上方进行 C.尽量远离腺体进行 D.尽量在腺体后方进行 E.尽量在腺体下方进行,C.尽量远离腺体进行
130,6,8,4,10. 下列人物的情绪中，属于积极情绪的有  ①当听到申奥成功的消息后，小李激动地跳了起来 ②在小刚最困难的时候得到帮助，小刚感动得哭了 ③家庭的突然变故使小康整天沉浸在悲痛之中 ④观众的掌声使演员备受鼓舞，演出取得圆满成功(3.0分),A.①③④  B.①②③   C.②③④    D.①②④,D.①②④
131,6,8,4,11. 24岁，女性，病程6年，说有人要害她，常自笑，好追求异性，有时打人摔东西，话多内容凌乱。精神检查：意识清晰，兴奋多语，思维松弛，欣快，主动接触异性，有被害妄想及非系统性妄想，活动增多而无目的性，躯体及神经系统检查未见著征，该患者诊断为(3.0分),A.情感障碍（躁狂型） B.精神分裂症 C.脑器质性精神障碍 D.人格障碍 E.躯体疾病所致精神障碍 ,B.精神分裂症
