number,grade,module,week,question_stem,choice,correct_answer
3375,16,2,2,6. 在病因研究中病例对照研究可以进行（） 研究 (2.0分),A.单因素 B.多因素 C.都可以  ,C.都可以  
3374,16,2,2,5. 在病因研究中，病例对照研究适合 (2.0分),A.少见病或罕见病 B.常见病 C.都可以  ,C.都可以  
1472,11,2,2,44. 创伤性颅脑急症，常规和首选检查方法(2.0分),A.X线 B.MRI C.超声 D.CT,D.CT
1801,12,2,2,49. 腔隙性脑梗死下列陈述不正确的是(2.0分),A.腔隙性脑梗死是指大脑半球或脑干深部的小穿通动脉，血管壁发生病变，导致管腔闭塞，形成小的梗死灶。 B.腔隙性脑梗死常见的发病部位包括壳核、尾状核、内囊、丘脑及脑桥等。 C.CT诊断腔隙性脑梗死优于MRI检查。 D.小脑较少发生腔隙性脑梗死。,C.CT诊断腔隙性脑梗死优于MRI检查。
2105,13,2,2,22. 关于吉兰-巴雷综合征的辅助检查，哪项正确(2.0分),A.蛋白-细胞分离在发病后第二周最明显 B.脑脊液的葡萄糖常常降低 C.远端潜伏期正常 D.F波和H反射的异常,D.F波和H反射的异常
1796,12,2,2,44. 图像清晰而且无骨伪影干扰，是后颅窝区神经系统疾病最理想的检查方法(2.0分),A.X线 B.MRI C.超声 D.CT,B.MRI
2653,14,2,2,11. 临床疑有椎管内占位性病变时，首选影像学检查方法是 (2.0分),A.CT检查  B.X线平片     C.椎管造影    D.MRI检查,D.MRI检查
3392,16,2,2,23. 关于脊髓损伤的感觉平面的描述，哪项是错误的？(2.0分),A.T2  乳头 B.T6  剑突 C.T8  肋缘 D.T10 脐,A.T2  乳头
2106,13,2,2,23. 乳头水平相当于哪个脊髓节段？(2.0分),A.T4  B.T5 C.T6 D.T7,A.T4 
2100,13,2,2,17. 关于臀中肌麻痹步态的描述正确的是(2.0分),A.一侧臀中肌病变 B.行走时躯干向健侧弯曲 C.多见于小脑肿瘤 D.也可见于大脑病变等,A.一侧臀中肌病变
2104,13,2,2,21. 吉兰-巴雷综合征的常见表现不包含(2.0分),A.四肢无力 B.腓肠肌酸痛 C.一侧面神经瘫痪 D.呼吸肌瘫痪,C.一侧面神经瘫痪
2096,13,2,2,13. 下面关于痉挛性截瘫步态的描述错误的是(2.0分),A.又称剪刀步态 B.下肢内收肌群张力降低 C.可见于横贯性脊髓损害 D.也可见于脑性瘫痪等,B.下肢内收肌群张力降低
78,7,2,2,28. 队列研究比较的是(2.0分),A.不同组人群发病/死亡人数的差别 B.不同组人群患病/死亡人数的差别 C.不同组人群发病/死亡率的差别 D.不同组人群患病/死亡率的差别,C.不同组人群发病/死亡率的差别
762,9,2,2,39. 新精神分析学派强调了社会文化因素对人格形成的重要作用，进而反对了弗洛伊德的 (2.0分),A.本能论 B.泛性论 C.两者都是 D.两者都不是,C.两者都是
3029,15,2,2,32. 所谓"退化"是指(2.0分),A.个体采用攻击的方式应付环境 B.个体使用幼儿时期的方式应付环境 C.个体采用远离应激源的方式应付环境 D.是一种无能为力、无所适从的行为反应,B.个体使用幼儿时期的方式应付环境
3732,17,2,2,33. 脊髓病变的临床表现不包括：(2.5分),A.肢体瘫痪 B.泌汗障碍 C.膀胱直肠功能障碍 D.交叉性感觉障碍,D.交叉性感觉障碍
87,7,2,2,37. 公元一世纪时，古希腊哲学家Epictetus就写到，打扰人们的不是事情本身，而是(2.0分),A.人们对事情所持有的观点 B.人们的经历 C.邻居的情绪 D.骗子所设的骗局,A.人们对事情所持有的观点
2091,13,2,2,8. 下面关于姿势的描述错误的是(2.0分),A.姿势是体检的项目之一 B.姿势是身体呈现的样子 C.人体的姿势与身体的健康状态有着密切关系 D.人体的姿势与个人习惯无关,D.人体的姿势与个人习惯无关
2681,14,2,2,39. 关于急性脊髓炎的治疗，错误的是(2.0分),A.丙种球蛋白 B.急性期大剂量甲泼尼龙短期冲击治疗 C.人血白蛋白 D.B族维生素,C.人血白蛋白
2117,13,2,2,34. 人体许多机能失调和机体痛苦都根源于思维问题。所以，认知在成为人们成功的源泉的同时，也是人们(2.0分),A.失败的源泉 B.苦恼的源泉 C.躯体诸多不适的源泉  D.以上均是,D.以上均是
764,9,2,2,41. 罗杰斯尤为提倡尊重人的客观权利，同时注重培养 (2.0分),A.人格 B.创造精神 C.自我发展 D.以上都是,D.以上都是
760,9,2,2,37. 自我防御机制的形成是为了 (2.0分),A.减轻或消除人格内部的冲突 B.降低或避免焦虑 C.保持人格的完整和统一 D.以上都是,D.以上都是
404,8,2,2,5. 来访者中心治疗的根本原则就是人为地创造一种尊重气氛，且这种气氛满足下列条件(3.0分),A.无条件的 B.绝对的 C.积极的 D.以上都是,D.以上都是
1768,12,2,2,16. 关于脊髓性间歇跛行的描述错误的是(2.0分),A.休息后症状不会好转 B.可见于脊髓动脉内膜炎 C.也可见于脊髓发育异常 D.也可见于椎管狭窄等,A.休息后症状不会好转
726,9,2,2,3. 尾状核头部占位首先引起下列什么部位受压改变： (2.0分),A.侧脑室枕角    B.侧脑室三角部   C.颞叶     D.侧脑室额角  ,D.侧脑室额角  
79,7,2,2,29. 拟在某工厂进行他汀类降血脂药物的降脂效果评价，该工厂男性职工2000人；女性职工2300人。根据既往调查发现，男性的甘油三酯水平为3.0±2.5mmol/L，女性的甘油三酯水平为3.2±1.0mmol/L。拟采用抽样调查的方式进行抽样，考虑到不同性别甘油三酯的变化，最好采用哪种抽样方法。 (2.0分),A.系统抽样 B.最优分配分层随机抽样 C.等比例分层随机抽样； D.整群抽样；,B.最优分配分层随机抽样
60,7,2,2,10. 膝关节损伤常见三联症 (2.0分),A.前交叉韧带 内侧副韧带 内侧半月板 B.后交叉韧带 内侧副韧带 内侧半月板  C.前交叉韧带 外侧副韧带 内侧半月板    D.前交叉韧带 内侧副韧带 外侧半月板,A.前交叉韧带 内侧副韧带 内侧半月板
82,7,2,2,32. 有人指出在弗洛伊德理论中，人的性腺与人脑更大的理由是弗洛伊德过分强调了(2.0分),A.力比多 B.客体 C.主体 D.利他,A.力比多
725,9,2,2,2. 临床上最多见的脑血管畸形是(2.0分),A.动脉瘤    B.海绵状血管瘤   C.动静脉畸形   D.毛细血管扩张症,C.动静脉畸形  
3025,15,2,2,28. 以下心理防御机制中，积极成熟的是 (2.0分),A.升华 B.转移 C.幻想 D.否认,A.升华
57,7,2,2,7. 关于肩袖损伤表现错误的是 (2.0分),A.肩外展疼痛，肩外展或伴内外旋时，疼痛加重。 B.压痛局限于二头肌间沟 C.痛弧试验阳性。 D.外展外旋试验阳性,B.压痛局限于二头肌间沟
3027,15,2,2,30. 一个内心极度自卑的人，会过分炫耀自己的优点。其可能的心理防御机制是(2.0分),A.否认机制 B.压抑机制 C.反向机制 D.转移机制,C.反向机制
758,9,2,2,35. 弗洛伊德认为婴幼儿期的人格停留在 (2.0分),A.口腔期 B.肛门期 C.性器期 D.潜伏期,A.口腔期
