,grade,module,week,question_stem,choice,correct_answer
201,6,5,6,1. 对甲型肝炎的错误叙述是(2.0分),A.病原体是单股正链RNA病毒 B.在潜伏期末和急性期，病人粪便及血液均有传染性 C.病毒能在组织培养中增殖并传代 D.早期诊断可测定特异性IgG,D.早期诊断可测定特异性IgG
202,6,5,6,2. 对甲型肝炎的错误叙述是(2.0分),A.在潜伏期末和急性期，病人粪便及血液均有传染性 B.病毒能在组织培养中增殖并传代 C.病原体是单股正链RNA病毒 D.早期诊断可测定特异性IgG,D.早期诊断可测定特异性IgG
203,6,5,6,3. 与HBV致病机制不符的叙述是(2.0分),A.感染细胞表面抗原改变导致免疫攻击 B.病毒抑制机体免疫功能而不能清除病毒 C.肝细胞的损伤主要由体液免疫介导 D.免疫复合物沉积引起超敏反应,C.肝细胞的损伤主要由体液免疫介导
204,6,5,6,4. 下列物质中，具有感染性的是(2.0分),A.小球形颗粒 B.管型颗粒 C.Dane颗粒 D.HBcAg,C.Dane颗粒
205,6,5,6,5. HDV的复制中，已知需要HBV为其提供的主要物质是(2.0分),A.逆转录酶 B.整合酶  C.复制酶 D.外衣壳蛋白,D.外衣壳蛋白
206,6,5,6,6. 对HIV致病机制的错误说法是(2.0分),A.病毒直接杀伤CD4细胞 B.Th细胞是HIV唯一靶细胞 C.感染细胞与邻近细胞发生融合 D.病毒出芽释放损伤CD4细胞,B.Th细胞是HIV唯一靶细胞
207,6,5,6,7. 关于朊粒的叙述，错误的是(2.0分),A.可引起人和动物感染 B.化学成分为蛋白酶K抗性的蛋白    C.又名传染性蛋白粒子 D.检出PrP即可诊断为prion病,D.检出PrP即可诊断为prion病
208,6,5,6,8. 被狂犬咬伤后立即接种狂犬疫苗防止发病是基于(2.0分),A.狂犬病潜伏期短 B.体内可很快产生细胞免疫 C.体内可很快产生抗体 D.狂犬病潜伏期长,D.狂犬病潜伏期长
209,6,5,6,9. 寻常疣和尖锐湿疣的病原是(2.0分),A.MCV  B.HIV C.HSV-2 D.HPV,D.HPV
210,6,5,6,10. 以下哪项不是慢性乙型肝炎病情重症化的指标 (2.0分),A.明显的肝病面容、肝掌和蜘蛛痣； B.胆红素突然明显增高；  C.血清转氨酶（ ALT ）明显增高；  D.突然出现明显的消化道症状；  E.凝血酶原时间明显延长 .,A.明显的肝病面容、肝掌和蜘蛛痣；
