number,grade,module,week,question_stem,choice,answer
173,6,7,6,1. 患者，男，32岁，因"车祸外伤后排尿困难4小时"入院。入院查体：直肠指诊提示前列腺高浮。辅助检查逆行尿道造影提示：单纯性造影剂外渗，膀胱未显影。诊断需考虑：(2.0分),A.前尿道部分撕裂伤 B.后尿道完全断裂 C.前尿道完全断裂 D.后尿道部分撕裂伤 E.以上都不是,B.后尿道完全断裂
174,6,7,6,2. 下列哪项不是肾癌保留肾单位手术的适应症(2.0分),A.孤立肾 B.肿瘤位于肾脏一极 C.肿瘤位于肾脏中极 D.双侧肾癌 E.肿瘤大小>4cm,C.肿瘤位于肾脏中极
175,6,7,6,3. 下列哪项不属于膀胱癌的危险因素(2.0分),A.吸烟 B.职业暴露（如燃料、橡胶及皮革等） C.埃及血吸虫感染 D.长期使用阿斯匹林 E.以上都不是,D.长期使用阿斯匹林
176,6,7,6,4. 膀胱癌确诊最直接有效的诊断方法是(2.0分),A.膀胱镜及镜下活检 B.经直肠B超 C.CT D.MRI E.KUB+IVP,A.膀胱镜及镜下活检
177,6,7,6,5. 以下哪项不属于局限性前列腺癌的常用治疗方式(2.0分),A.放疗 B.化疗 C.根治性前列腺切除术 D.主动监测 E.以上都是,B.化疗
178,6,7,6,6. 典型输尿管结核肾盂造影表现：(2.0分),A.输尿管变细 B.输尿管"串珠状"改变 C.输尿管无改变 D.输尿管变粗 E.输尿管内充盈缺损,B.输尿管"串珠状"改变
179,6,7,6,7. 下列哪项不是尿道损伤的常见并发症 (2.0分),A.尿道直肠瘘 B.尿道狭窄 C.尿失禁 D.勃起功能障碍 E.以上都是,A.尿道直肠瘘
180,6,7,6,8. 肾功能衰竭时一定有下列哪项变化？ (2.0分),A.等渗尿 B.少尿 C.高钾血症 D.氮质血症 E.低渗尿,D.氮质血症
181,6,7,6,9. 慢性肾功能不全时引起继发性甲状旁腺功能亢进的原因是(2.0分),A.血肌酐升高  B.血钾升高 C.血磷升高、血钙降低 D.BUN升高 E.二氧化碳结合力升高,C.血磷升高、血钙降低
182,6,7,6,10. TURP 术中及术后常见的并发症有 (2.0分),A.膀胱穿孔 B.TURP综合征 C.术后出血 D.尿失禁 E.以上都是,E.以上都是
183,6,7,6,11. 能使肾小球有效率过滤下降的主要因素是： (2.0分),A.滤过面积下降 B.血浆胶体渗透压升高 C.入球小动脉舒张 D.出球小动脉痉挛 E.肾血流量下降,E.肾血流量下降
184,6,7,6,12. 肾功能不全的健存肾单位学说是(2.0分),A.肾单位一部分受损，再生一部分肾单位代偿 B.全部肾单位普遍受损 C.当肾单位破坏至一定数量，残存的肾单位代偿 D.肾单位受损到一定数量后，又可以再生恢复功能 E.每个肾单位中，一部分受损后，其余部分代偿。,C.当肾单位破坏至一定数量，残存的肾单位代偿
185,6,7,6,13. 最常见X线不显影的结石为(2.0分),A.黄嘌呤结石 B.磷酸盐结石 C.尿酸结石 D.草酸钙结石 E.胱氨酸结石,C.尿酸结石
186,6,7,6,14. 肾远曲小管功能障碍会出现： (2.0分),A.肾性糖尿 B.肾小管性酸中毒 C.高渗尿 D.肾性氨基酸尿 E.蛋白尿,B.肾小管性酸中毒
187,6,7,6,15. 慢性肾功能不全患者意识丧失、心跳骤停而死，其死亡原因可能是(2.0分),A.低钙血症 B.心力衰竭 C.高钾血症  D.代谢性酸中毒  E.尿毒症脑病 ,C.高钾血症 
188,6,7,6,16. 下列哪项符合AKI诊断标准：(2.0分),"A.48h 血肌酐升高≥26.4umol/l B.72h血肌酐升高≥26.4umol/l C.尿量＜0.5ml/kg/h,持续4小时以上 D.48h 血肌酐升高较基数值≥30%",A.48h 血肌酐升高≥26.4umol/l
189,6,7,6,"17. Polycystic kidney disease is a significant cause of renal failure that presents from early infancy to adulthood. Early-onset cases tend to affect one family member or siblings, whereas adult-onset cases often show a vertical pattern in the pedigree. Which(2.0分)",A.Locus heterogeneity B.Allelic heterogeneity C.Pleiotropy D.Multifactorial inheritance,A.Locus heterogeneity
190,6,7,6,18. 肾细胞癌的扩散特点是(2.0分),A.常侵入肾静脉 B.常侵入肾动脉 C.常侵入输尿管 D.常侵犯肾上腺 E.常侵犯肾门淋巴结,A.常侵入肾静脉
191,6,7,6,19. 婴幼儿最常见的肾肿瘤是：(2.0分),A.肾腺癌  B.肾母细胞瘤 C.肾盂乳头状瘤 D.神经母细胞瘤 E.肾盂乳头状癌,B.肾母细胞瘤
192,6,7,6,20. 肾呈分叶状增大， 肾盂造影示肾盂肾盏弧形压迫、变狭、拉长、移位应诊断为：(2.0分),A.马蹄肾 B.肾囊肿  C.肾盂癌 D.肾结核 E.肾胚胎瘤,B.肾囊肿 
193,6,7,6,21. 急性肾功能衰竭的主要发生机制是： (2.0分),A.原尿漏回间质 B.肾小球滤过功能障碍 C.肾小管阻塞 D.肾组织细胞肿胀 E.肾内广泛微血栓形成,B.肾小球滤过功能障碍
194,6,7,6,22. 上尿路最常见的结石为 (2.0分),A.尿酸结石 B.草酸钙结石 C.黄嘌呤结石 D.磷酸盐结石 E.胱氨酸结石,B.草酸钙结石
195,6,7,6,23. 下列哪项指标提示患者是肾性急性肾损伤(2.0分),A.尿渗透压>500 B.尿钠浓度<20 C.滤过钠分数>1 D.尿比重>1．018,C.滤过钠分数>1
196,6,7,6,24. 下列哪种肾脏改变无临床病理意义(2.0分),A.多囊肾 B.马蹄肾 C.驼峰肾  D.海绵肾  E.异位肾  ,C.驼峰肾 
197,6,7,6,25.  "小膀胱"征(膀胱挛缩)多见于(2.0分),A.膀胱结核  B.膀胱移行上皮癌  C.膀胱结石 D.膀胱息肉 E.急性膀胱炎,A.膀胱结核 
198,6,7,6,26. 关于泌尿系结石的描述，哪项不妥 (2.0分),A.输尿管结石多停留于生理狭窄处 B.膀胱结石可来自肾脏或发生于膀胱 C.输尿管结石绝大多数来自肾脏 D.较小肾结石常聚集于肾小盏  E.结石越大越易引起绞痛,E.结石越大越易引起绞痛
199,6,7,6,27. 前列腺增生的并发症不包括(2.0分),A.膀胱结石 B.腹股沟疝 C.双肾积水 D.镜下血尿  E.睾丸鞘膜积液,E.睾丸鞘膜积液
200,6,7,6,28.  "The totality of exons in a genome" indicates：(2.0分),A.whole genome B.mutatome C.exome D.variome,C.exome
201,6,7,6,29. 肾近曲小管功能障碍会出现： (2.0分),A.等渗尿 B.肾性尿崩症 C.肾性糖尿 D.低渗尿 E.多尿,C.肾性糖尿
202,6,7,6,30. 急性肾衰竭时，下列哪种情况需紧急血液透析(2.0分),A.血红蛋白＜11g／dl B.动脉血气分析pH 7.30 C.血肌酐达353.6umol／L D.急性肺水肿,D.急性肺水肿
203,6,7,6,31. 决定膀胱癌预后的主要因素是(2.0分),A.年龄 B.性别 C.肿瘤发生部位 D.组织学类型 E.肿瘤的分级,E.肿瘤的分级
204,6,7,6,32. 关于肾细胞癌下列哪项描述是正确的(2.0分),A.典型组织病理学形态为透明细胞癌 B.大部分患者因血尿、腰痛和腰部肿块三联症被发现 C.常在早期即有临床症状 D.转移少见，发生时也只局限于肾周 E.肉眼上肿瘤切面实性，灰白色，含少量脂质,A.典型组织病理学形态为透明细胞癌
205,6,7,6,33. 判断少尿的标准是尿量低于：(2.0分),A.100ml/24h B.400ml/24h C.1000ml/24h D.500ml/24h E.1500ml/24h,B.400ml/24h
206,6,7,6,34. 肾癌的临床表现可以归结为"肾癌三联征"，其不包括以下哪个症状(2.0分),A.排尿困难 B.血尿 C.肿块 D.疼痛 E.以上都不是,A.排尿困难
207,6,7,6,35. 小儿先天性上尿路梗阻最常发生的部位在(2.0分),A.输尿管膀胱入口处 B.输尿管中段 C.输尿管上段 D.输尿管下段 E.输尿管肾盂连接部,E.输尿管肾盂连接部
208,6,7,6,36. 区分急性肾损伤和慢性肾衰竭最有意义的是：(2.0分),A.氮质血症程度 B.血尿程度 C.蛋白尿程度 D.双肾体积,D.双肾体积
209,6,7,6,37. 肾结石的形成已证实与下列哪项因素无关 (2.0分),A.尿液酸碱度的改变 B.细菌感染 C.钙盐代谢  D.维生素代谢紊乱  E.以上都无关,D.维生素代谢紊乱 
210,6,7,6,38. 发生肾内血流重新分配的生理解剖条件是： (2.0分),A.皮质肾单位的入球小动脉口径大于出球小动脉 B.两类肾单位的血管形态和血流阻力不同 C.两类肾单位的交感神经和肾素分布不同 D.皮质肾单位的数量多于近髓肾单位 E.近髓肾单位的入球小动脉口径大于出球小动脉,C.两类肾单位的交感神经和肾素分布不同
211,6,7,6,39. 解除尿路梗阻的方法，下列哪项首选 (2.0分),A.肾造瘘 B.输尿管皮肤造瘘 C.膀胱造楼 D.留置导尿 E.查清病因，解除原发病,E.查清病因，解除原发病
212,6,7,6,40. 下列哪项措施不是用来延缓慢性肾衰竭的进展(2.0分),A.控制血脂、血压 B.必需氨基酸的应用 C.中医药疗法 D.低蛋白饮食 E.使用利尿剂治疗,E.使用利尿剂治疗
213,6,7,6,41. 当全身平均动脉血压<8kPa（60mmHg）时，下列哪项不可能出现？ (2.0分),A.入球小动脉收缩 B.肾髓质血流量明显下降 C.肾小管可逆性坏死 D.肾血流量明显下降 E.GFR下降,B.肾髓质血流量明显下降
214,6,7,6,42. 以下哪项不是肾损伤的临床表现(2.0分),A.疼痛 B.肿块 C.无尿 D.血尿 E.以上都是,C.无尿
215,6,7,6,43. 尿毒症患者为纠正酸中毒静滴碳酸氢钠时发生手足搐搦，可能机制(2.0分),A.低钾血症 B.血中游离钙降低 C.高钠血症继发脑水肿 D.血中钙总量减少 E.碳酸氢根离子浓度过高发生碱中毒,B.血中游离钙降低
216,6,7,6,44. 急性肾损伤患者选择腹膜透析的理由不包括：(2.0分),A.儿童患者 B.血液动力学不稳定 C.有出血倾向 D.横膈疝患者,D.横膈疝患者
217,6,7,6,45. 肾母细胞瘤又名为(2.0分),A. Wilms瘤 B.Krukenberg瘤 C.Ewing瘤 D.Grawitz瘤 E.Carcinoma,A. Wilms瘤
218,6,7,6,46. 女性，56岁，因盆腔肿瘤切除术后12小时出现少尿（10ml／小时），血尿素氮15mmol／L，肌酐178μmol／L，尿比重1.030，尿钠13mmol／L，尿量减少最可能的原因是(2.0分),A.肾性急性肾损伤 B.肾前性急性肾损伤 C.急性间质性肾炎 D.慢性肾衰竭,B.肾前性急性肾损伤
219,6,7,6,47. 肾前性急性肾损伤尿沉渣镜检常见管型 (2.0分),A.红细胞管型   B.颗粒管型  C.白细胞管型   D.透明管型 ,D.透明管型 
