,grade,module,week,question_stem,choice,answer
223,6,7,7,1. 呼吸系统分为上下呼吸道，其分界处为(3.0分),A.喉部 B.环状软骨下缘 C.声带 D.总气管分叉部 E.会厌软骨下缘,B.环状软骨下缘
224,6,7,7,2. 正常成人心胸比值一般不超过 (3.0分),A.0.6 B.0.5 C.0.55 D.0.45 E.0.4,B.0.5
225,6,7,7,3. 早期中心型肺癌的常见症状是(3.0分),A.高热、胸痛    B.声音嘶哑     C.咳嗽、血痰     D.上肢及颜面部肿胀 E.胸闷、呼吸困难    ,C.咳嗽、血痰    
226,6,7,7,4. 对毛细支气管炎的描述哪项是错误的(3.0分),A.两肺哮鸣音 B.呼气性喘鸣 C.多为稽留热 D.两肺中细湿啰音 E.明显喘憋,C.多为稽留热
227,6,7,7,5. 吸入性肺脓肿（原发性）最常见的病原菌是(3.0分),A.G+球菌、G-杆菌、厌氧菌及其混合病原菌 B.肺炎支原体 C.结核分枝杆菌 D.PRSP,A.G+球菌、G-杆菌、厌氧菌及其混合病原菌
228,6,7,7,6. 对年幼儿童哮喘诊断最可靠的是(3.0分),A.有家族史 B.哮喘呈反复发作 C.发作时肺部有哮鸣音 D.肺功能 E.平喘治疗有效,E.平喘治疗有效
229,6,7,7,7. 下列肺癌的描述中，哪项是正确的:(4.0分),A.小细胞癌多呈弥漫型 B.腺癌最多见 C.鳞状细胞癌多有吸烟史 D.周围型多为鳞癌 E.细支气管肺泡癌多为中央型,C.鳞状细胞癌多有吸烟史
230,6,7,7,8. 关于周围型肺癌毛刺征的描述，不正确的是：(3.0分),A.近端略粗远侧变细 B.细毛刺数目较多，围绕肿瘤发射状分布 C.粗毛刺一般较短，粗细不均 D.是癌组织向周围浸润所致,C.粗毛刺一般较短，粗细不均
231,6,7,7,9. 小儿急性上呼吸道感染的最主要病原体是 (3.0分),A.厌氧菌 B.肺炎链球菌 C.真菌 D.病毒 E.以上均不是,D.病毒
232,6,7,7,10. 男性，40岁。20年前患过肺结核外，平素健康，近3个月来有刺激性咳嗽，痰中偶有血丝，有时发热。X线示:右肺上叶前段有2cm×2.5cm的块状阴影，边缘不整呈分叶状，痰查脱落细胞3次均阴性，诊断首先考虑(3.0分),A.肺囊肿 B.肺癌 C.肺脓肿 D.肺结核 E.肺良性肿瘤,B.肺癌
233,6,7,7,11. 男，45岁，长期吸烟；近两个月来咳嗽加重及咯血丝痰，查体右上肺局限性哮鸣音，余未见异常。该患者哪种可能性大?(3.0分),A.右上肺癌 B.急性左心衰 C.支气管扩张症 D.支气管哮喘 E.慢性支气管炎,A.右上肺癌
234,6,7,7,12. 男性，60岁，慢性咳嗽、咳痰12年，气急3年，呈逐渐加重，胸片示肋间隙增宽、双肺透亮度增加，两下肺纹理乱，最可能的诊断是(       )(3.0分),A.慢性支气管炎 B.慢性阻塞性肺气肿 C.机化性肺炎 D.支气管扩张 E.支气管哮喘,B.慢性阻塞性肺气肿
235,6,7,7,13. 下列哪类患者可以行MR检查(3.0分),A.心脏病患者 B.带有心脏起搏器者 C.术后动脉夹存留者  D.换有人工金属瓣膜,A.心脏病患者
236,6,7,7,14. 关于支原体肺炎，哪项不正确 (3.0分),A.肺部可闻及湿啰音 B.起病缓慢 C.可有发热 D.多发生于8个月以下婴儿 E.病理特征可为间质性改变,D.多发生于8个月以下婴儿
237,6,7,7,15. 风湿性心脏病二尖瓣狭窄时，心影呈：(3.0分),A.横位心 B.梨形心  C.靴形心 D.悬滴状心 E.球形心,B.梨形心 
238,6,7,7,16. 有一长期低热，胸痛，乏力病人。近日来咳嗽加剧，痰中带有血丝，血沉加快。CT扫描示：右上肺类圆形阴影，内有点状钙化影。病灶周围散在索条状，斑点状影。可诊断为：(3.0分),A.炎性假瘤 B.肺癌 C.结核球 D.过敏性肺炎,C.结核球
239,6,7,7,17. 对社区获得性肺炎的诊断，下列哪一项是必须的。(3.0分),A.发热 B.新近出现的咳嗽、咳痰 C.胸部 X 线检查显示有肺炎表现 D.WBC>10×109/L或<4×109/L,A.发热
240,6,7,7,18. 肺癌组织学类型中多见于女性的是(3.0分),A.大细胞癌       B.腺癌         C.小细胞癌 D.鳞状细胞癌     E.燕麦细胞癌   ,B.腺癌        
241,6,7,7,19. 肺心病急性呼吸衰竭患者血气分析结果：pH7.18PaCO274.6mmHg，HCO3-17.6mmol/L，剩余碱-6，你考虑下列哪一项论断正确(       )(3.0分),A.呼吸性碱中毒 B.呼吸性酸中毒并代谢性酸中毒，失代偿期 C.代谢性碱中毒 D.代谢性酸中毒 E.以上都不是,B.呼吸性酸中毒并代谢性酸中毒，失代偿期
242,6,7,7,20. 急性感染性喉炎咳嗽的特点是(3.0分),A.犬吠样咳嗽 B.刺激性干咳 C.痉挛性咳嗽 D.阵发性咳嗽 E.有痰咳嗽,A.犬吠样咳嗽
243,6,7,7,21. 社区获得性肺炎（CAP）是指在医院外获得的           肺实质（含肺泡壁，即广义上的肺间质）炎症。(3.0分),A.过敏性 B.放射性 C.化学性 D.感染性,D.感染性
244,6,7,7,22. 目前公认的参与哮喘发病机制的主要类型淋巴细胞为： (3.0分),A.TH1 淋巴细胞 B.TH2 淋巴细胞 C.CD4+ 淋巴细胞 D.CD8+ 淋巴细胞,B.TH2 淋巴细胞
