number,grade,module,week,question_stem,choice,correct_answer,
101,7,1,2,1. 对环境雌激素的评价，以下错误的一项是：(2.0分),A.环境雌激素有抗天然雄激素效应 B.儿童对环境雌激素更具易感性 C.环境雌激素对儿童神经系统无损害 D.有些植物雌激素对健康有益,C.环境雌激素对儿童神经系统无损害,
102,7,1,2,2. 在家庭教育氛围中，父母受教育程度与儿童的心理发展一般来说：(2.0分),A.是呈正相关 B.正、负向相关相等 C.是呈负相关 D.不一定有相关性,A.是呈正相关,
103,7,1,2,3. 黑种人跑步快的遗传特点是：(2.0分),A.体成份中脂肪含量少 B.驱干和四肢的比例特殊 C.骨骼肌特别发达 D.日照使骨骼发育佳,B.驱干和四肢的比例特殊,
104,7,1,2,4. 氟对于人体来说:(2.0分),A.体内不需要氟的存在 B.体内积存越多对机体越有益 C.氟仅仅对保护牙齿有益 D.体内微量存在对机体有益,D.体内微量存在对机体有益,
105,7,1,2,5. 遗传因素对生长发育的影响来源于：(2.0分),A.家族性与种族性 B.家族性与地域性 C.家族性与血缘性   D.种族性与迁徙性,A.家族性与种族性,
106,7,1,2,6. 环境因素决定了生长发育的：(2.0分),A.现实性 B.可能性 C.潜力性 D.程度性 ,A.现实性,
107,7,1,2,7. 环境因素对个体生长发育的影响起始于：(2.0分),A.父母生殖细胞形成时 B.胎儿期 C.出生后 D.受精卵形成时,A.父母生殖细胞形成时,
108,7,1,2,8. 生长长期变化的趋势：(2.0分),A.一定是正向的  B.不会停滞的 C.可以是正、负向的 D.达到一定程度会停滞的 ,D.达到一定程度会停滞的 ,
109,7,1,2,9. 双生子是研究儿童生长发育影响因素的天然素材是基于：(2.0分),A.同卵双生子的基因相同 B.同卵双生子的基因相同且环境相同 C.同卵双生子的基因相同而环境不同  D.同卵双生子与异卵双生子的基因不同,A.同卵双生子的基因相同,
110,7,1,2,10. 平衡膳食是指：(2.0分),A.一日三餐的平衡 B.各种营养素间的平衡 C.营养素摄入与人体需求的平衡 D.主副食及荤素的平衡,C.营养素摄入与人体需求的平衡,
111,7,1,2,11. 有关超声波的特性下列正确的是：(2.0分),A.大于16Hz的机械纵波 B.大于20M Hz的机械纵波 C.16--20MHz的机械纵波 D.大于20M Hz的机械横波 E.小于16Hz的机械横波,B.大于20M Hz的机械纵波,
112,7,1,2,12. 有关超声多普勒以下哪项错误：(2.0分),A.脉冲多普勒能测高速血流 B.有彩色多普勒、脉冲多普勒和连续多普勒等 C.脉冲多普勒有距离选通功能 D.连续多普勒无距离选通功能 E.彩色多普勒是半定量显示,A.脉冲多普勒能测高速血流,
113,7,1,2,13. 在扫描中，清楚地分辨物体，能够测定其结构间最小距离，决定于声束的        (2.0分),A.波长     B.强度   C.衰减     D.速度   E.波幅,A.波长    ,
114,7,1,2,14. 波的峰压或高度称        (2.0分),A.周期    B.波长  C.波幅     D.频率    E.速度,C.波幅    ,
115,7,1,2,15. 频率增大，穿透将         (2.0分),A.增大十倍      B.增大     C.减小    D.不变   E.减小十倍,C.减小   ,
116,7,1,2,16. 连续多普勒的特点为：(2.0分),"A.速度分辨力差，距离分辨力亦差 B.速度分辨力差，距离分辨力佳 C.速度分辨力佳, 距离分辨力亦佳 D.速度分辨力佳, 距离分辨力差  E.以上都错误","D.速度分辨力佳, 距离分辨力差 ",
117,7,1,2,17. 液体属于声学类型中的           (2.0分),A.多反射型 B.无反射型      C.少反射型     D.全反射型            E.混合反射型,B.无反射型     ,
118,7,1,2,18. 彩色血流显像中对向探头的湍流血流颜色应为               (2.0分),A.混色血流 B.以红色为主的五彩镶嵌血流          C.兰色血流       D.红色血流       E.以兰色为主五彩镶嵌血流,B.以红色为主的五彩镶嵌血流         ,
119,7,1,2,19. 对湍流状态的血流作出定量诊断，需依靠：(2.0分),A.ＣＷＤ　　 B.ＰＷＤ　　 C.２－ＤＥ D.ＣＤＦＩ 　　 E.Ｍ－ＭＯＤＥ,A.ＣＷＤ　　,
120,7,1,2,20. 关于压电效应那种说法正确? (2.0分),A.正压电效应(产生) B.在交变电场的作用导致压电晶体厚度的交替改变从而产生声振动，即由电能转变为声能。 C.逆压电效应(接收) D.由压电晶体自主产生超声波,B.在交变电场的作用导致压电晶体厚度的交替改变从而产生声振动，即由电能转变为声能。,
121,7,1,2,21. 梯度磁场的目的是(2.0分),A.增加磁场的均匀性   B.减少磁场强度   C.增加磁场强度   D.帮助空间定位   E.减小伪影,D.帮助空间定位  ,
122,7,1,2,22. 相位编码将导致Y轴上的像素：(2.0分),A.相位相同 频率相同     B.相位相同 频率不同   C.相位不同 频率不同    D.相位不同 频率相同   E.与频率无关,D.相位不同 频率相同  ,
123,7,1,2,23. 梯度回波序列的主要优点是(2.0分),A.减低噪声 B.提高对比分辨率 C.提高空间分辨率 D.提高图像信噪比 E.缩短扫描时间,E.缩短扫描时间,
124,7,1,2,24. 自旋回波（SE）序列中去相位是指(2.0分),A.磁场不均匀所致的相位差别   B.180°脉冲激励时   C.90°脉冲激励后   D.180°脉冲激励后   E.以上都不对,B.180°脉冲激励时  ,
125,7,1,2,25. 影响图像对比度的主要成像参数是(2.0分),A.横向磁化矢量   B.纵向磁化矢量   C.脉冲序列   D.磁场系统   E.以上都不对,A.横向磁化矢量  ,
126,7,1,2,26. 对CT而言，MRI的优点包括以下几方面，错误的是 (2.0分),A.密度分辨率高   B.多参数成像，信息量大   C.直接的多平面成像   D.空间分辨率高   E.无碘过敏危险,D.空间分辨率高  ,
127,7,1,2,27. 小儿体格发育的两个高峰期是 (2.0分),A.青春期、婴儿期  B.青春期、学龄期  C.学龄期、学龄前期  D.青春期、幼儿期  E.学龄期、新生儿期     ,A.青春期、婴儿期 ,
128,7,1,2,28. 一男婴，体重7.5kg，身长66cm，头围44cm，左腕骨骨化中心2个。此婴儿最可能的月龄是    (2.0分),A.6个月  B.4个月  C.2个月  D.10个月  E.12个月 ,A.6个月 ,
129,7,1,2,29. 正常小儿头围48cm时几个月？ (2.0分),A.24个月 B.6个月 C.10个月 D.12个月 E.60个月      ,A.24个月,
130,7,1,2,30. 正常10个月婴儿的标准体重为：(2.0分),A.6Kg  B.9Kg  C.7.5Kg D.8.5Kg  E.以上均不是,D.8.5Kg ,
131,7,1,2,31. 一健康女婴，能独坐一会儿，能用手摇玩具，能认识熟人及生人，脊柱出现了第二个生理性弯曲，其年龄大约为(2.0分),A.4个月    B.8个月    C.6个月     D.9个月   E.以上均不是 ,C.6个月    ,
132,7,1,2,32. 在人一生中，生理、心理发生巨大变化的时期是(2.0分),A.学龄前期 B.学龄期 C.幼儿期  D.青春期  ,D.青春期  ,
133,7,1,2,33. 小儿年龄阶段中哪一期体格发育最快                                                              (2.0分),A.学龄期 B.幼儿期 C.学龄前期 D.婴儿期 E.以上都不是        ,D.婴儿期,
134,7,1,2,34. 关于生长发育的规律，下列哪项是错误的 (2.0分),A.由上到下 B.由粗到细 C.由简单到复杂 D.由低级到高级 E.由远到近,E.由远到近,
135,7,1,2,35. 3岁小儿身长95cm，体重15kg，牙齿20个，属于(2.0分),A.肥胖症 B.身材异常高大 C.体重身长超过正常范围 D.正常范围 E.营养不良,D.正常范围,
136,7,1,2,36. 青春期增长最快的是(2.0分),A.上肢 B.颈部 C.脊柱 D.头部 E.下肢 ,E.下肢 ,
137,7,1,2,37. DMD的遗传方式：(2.0分),A.XD      B.XR        C.AD       D.AR,B.XR       ,
138,7,1,2,38. DMD的最常见突变形式：(2.0分),A.缺失突变     B.重复突变      C.点突变      D.无义突变,A.缺失突变    ,
139,7,1,2,39. 以下不是多重PCR特点的是：(2.0分),A.经济简便性      B.灵敏性      C.高效性      D.高保真性,D.高保真性,
140,7,1,2,40. 以下不是琼脂糖凝胶电泳优点的是：(2.0分),A.电泳后区带不易染色，样品不易洗脱，不便于样品定量测定及回收。     B.琼脂糖透明无紫外吸收，电泳过程和结果可直接用紫外光灯检测及定量测定。      C.操作简单，电泳速度快，样品不需事先处理就可以进行电泳。     D.电泳图谱清晰，分辨率高，重复性好,A.电泳后区带不易染色，样品不易洗脱，不便于样品定量测定及回收。    ,
141,7,1,2,41. 溴化乙锭的性能不包括：(2.0分),A.250～310 nm波长的紫外光激发其发出橙红色光，常用于检测核酸分子。    B.能嵌入到双链核酸碱基对平面之间    C.与DNA结合后促进DNA的复制和转录    D.是一种强诱变剂，有致癌作用。,C.与DNA结合后促进DNA的复制和转录   ,
142,7,1,2,42. DMD基因定位于：(2.0分),A.1q22.2-22.3    B.Xq21.2-21.3     C.3p21.2-21.3    D.Xq22.2-22.3,B.Xq21.2-21.3    ,
143,7,1,2,"43. Which of the following is, in most cases, inherited as a complex genetic trait? (2.0分)",A.Neural tube defects  B.Down syndrome  C.Neurofibromatosis神经纤维瘤病 D.Cystic fibrosis  E.Duchenne muscular dystrophy,A.Neural tube defects ,
144,7,1,2,44. A 21-year-old man requests genetic testing for Huntington's disease. Family history includes a grandmother who had been affected. Which of the following describes the most direct diagnostic procedure for this patient? (2.0分),A.Missense mutation analysis B.Gene deletion analysis C.CAG repeat analysis  D.Polyglutamine（多谷氨酰胺）analysis E.Protein concentration analysis,C.CAG repeat analysis ,
145,7,1,2,"45. v\:* {behavior:url(#default#VML);}o\:* {behavior:url(#default#VML);}w\:* {behavior:url(#default#VML);}.shape {behavior:url(#default#VML);} /* Style Definitions */ table.MsoNormalTable{mso-style-name:普通表格;mso-tstyle-rowband-size:0;mso-tstyle-colband-size:0;mso-style-noshow:yes;mso-style-parent:"""";mso-padding-alt:0cm 5.4pt 0cm 5.4pt;mso-para-margin:0cm;mso-para-margin-bottom:.0001pt;mso-pagination:widow-orphan;font-size:10.0pt;font-family:""Times New Roman"";mso-ansi-language:#0400;mso-fareast-language:#0400;mso-bidi-language:#0400;} /* Style Definitions */ table.MsoNormalTable{mso-style-name:普通表格;mso-tstyle-rowband-size:0;mso-tstyle-colband-size:0;mso-style-noshow:yes;mso-style-parent:"""";mso-padding-alt:0cm 5.4pt 0cm 5.4pt;mso-para-margin:0cm;mso-para-margin-bottom:.0001pt;mso-pagination:widow-orphan;font-size:10.0pt;font-family:""Times New Roman"";mso-ansi-language:#0400;mso-fareast-language:#0400;mso-bidi-language:#0400;}?The pedigree shows your patient, Marsha, who is affected with a single gene, autosomal dominant disorder that shows 80% penetrance, and her two children, Michael and Marcus. Michael is also clinically affected with the disorder. The probability that Marcus will have the clinical signs with the disorder is closet to which of the following choices? ?(2.0分)",A.40% B.20% C.50% D.80% E.100%,A.40%,
146,7,1,2,"46. Chris and his brother Todd both have Duchnne muscular dystrophy. There is a maternal history of this disorder. Jean, the boy's maternal aunt, is interested in beginning a family. What is the probability that she is a heterozygous carrier of the disease ge(2.0分)",A.1/8 B.Virtually 0 C.1/4 D.3/8 E.1/2,E.1/2,
147,7,1,2,"47. Many disorders are not caused by single gene inheritance, but are multifactorial. In counseling situations involving these disorders, how are recurrence risks identified?  (2.0分)","A.Bayes theorem is applied, using modifications of ""prior"" risk calculation utilized among single-gene defects B.The risks are determined empirically, based on previous observations of disease recurrence among actual families C.Recurrence risks cannot determined for non-Mendelian disorders D.Single gene inheritance risks are multiplied by a factorial fraction, chosen to represent the contribution from other genetic factors plus the environmental influence E.All above is wrong","B.The risks are determined empirically, based on previous observations of disease recurrence among actual families",
148,7,1,2,48. Which of following action is acceptable in medical genetics practice?   (2.0分),A.Discuss the cases with your colleagues in the hallway B.Put all the information on the internet and call for people to support the known name patients C.Put all the patient genetic testing reports at the front desk and let the patients search for their own ones because it is easy D.Discuss the cases with your friend because she is very interested in anything funny E.None of the above,E.None of the above,
149,7,1,2,49. About genetic counselling (2.0分),"A.Genetic counselling is all about recurrence risk B.Patient support groups have little value given that modern medical genetics is so technically complex C.The individual who seeks genetic counselling is the proband D.Genetic disorders are accidents of nature, so guilt feelings are rare E.Good counselling should not be measured by the patient's/client's ability to remember genetic risks",E.Good counselling should not be measured by the patient's/client's ability to remember genetic risks,
150,7,1,2,50. Bob has hypophosphatemic rickets（抗维生素D佝偻病）. He and his wife Jill come to the genetics for counseling because they would like to have children. What can you tell them about the likelihood that any daughters will be affected? Any sons?  (2.0分),"A.100% daughters, 50% sons B.100% daughters, 0% sons C.0% daughters, 100% sons D.100% daughters, 50% sons E.50% daughters, 100% sons","B.100% daughters, 0% sons",
451,8,1,2,"1. 一男孩，出生体重3.3kg, 目前体检体重8.9kg, 身长72cm, 前囟1×1cm, 乳牙1枚。 头围45cm, 尚不会独站。最可能的年龄是： (2.0分)",A.12月龄 B.6月龄 C.9月龄 D.3月龄 E.15月龄,C.9月龄,
452,8,1,2,2. 以下有关性早熟的叙述错误的是：(2.0分),A.女孩在8岁前出现乳房发育 B.男孩真性性早熟特别要当心中枢神经系统肿瘤 C.真性性早熟需要治疗，假性性早熟可以观察 D.男孩在9岁前出现睾丸增大 E.女孩10岁前初潮      ,C.真性性早熟需要治疗，假性性早熟可以观察,
453,8,1,2,3. 以下关于青春发育延迟错误的说法是：(2.0分),A.体质性青春发育延迟一般多见于男孩 B.下丘脑-垂体-性腺轴的病变可造成青春发育延迟 C.染色体异常造成的性发育延迟不属于青春发育延迟 D.Turner综合征属于高促性腺激素性性发育不良的一种 E.过度运动和消瘦也会造成青春发育延迟 ,C.染色体异常造成的性发育延迟不属于青春发育延迟,
454,8,1,2,4. 人类染色体核型分析不适合诊断下列哪些遗传病： (2.0分),A.特纳氏综合征 B.猫叫综合征 C.21三体综合征 D.?-地中海贫血,D.?-地中海贫血,
456,8,1,2,6. The maternal serum level of alpha-fetoprotein (AFP) is lower than average in which situation?(2.0分),A.Exomphalos（脐疝） B.Down syndrome C.Neural tube defects（神经管缺陷） D.Twin pregnancies,B.Down syndrome,
457,8,1,2,7. 女孩第二性征发育顺序依次为(2.0分),A.腋毛-乳房-阴毛-初潮 B.乳房-阴毛-初潮-腋毛 C.阴毛-乳房-初潮-腋毛 D.乳房-腋毛-初潮-阴毛 E.乳房-阴毛-腋毛-初潮 ,B.乳房-阴毛-初潮-腋毛,
458,8,1,2,8. 双链DNA迁移率与下列哪种因素无关： (2.0分),A.凝胶浓度 B.电压 C.DNA长度 D.电泳时间,D.电泳时间,
459,8,1,2,"9. 一3周岁男孩，体检发现前囟未闭，约1.5×1.5cm, 平坦，无饱满或隆起，头围49.5cm, 应考虑的可能疾病是(2.0分)",A.脱水 B.甲状腺功能低下 C.脑积水 D.脑发育不良 E.以上都不是,B.甲状腺功能低下,
460,8,1,2,10. 是超声首先观察到的妊娠标志。(2.0分),A.胚芽（fetal pole）  B. "胚胎"  C. "胎儿"  D.卵黄囊（yolk sac）  E.妊娠囊（gestational sac）,E.妊娠囊（gestational sac）,
461,8,1,2,11. 一足月出生男婴，以下哪一项提示为异常？ (2.0分),A.拥抱反射未引出 B.巴彬斯基征阳性 C.提睾反射未引出 D.可引出觅食反射 E.克氏征阳性,A.拥抱反射未引出,
462,8,1,2,12. 下列哪染色体是近端着丝粒染色体： (2.0分),A.X染色体 B.8号染色体 C.3号染色体  D.Y染色体,D.Y染色体,
463,8,1,2,13. 新生儿体温调节的特点，哪一项是正确的？ (2.0分),A.将新生儿置于预热后的辐射床，可避免蒸发散热 B.早产儿日龄越小，体重越低，所需中性环境温度也越低 C.环境温度高时，早产儿可通过出汗而蒸发散热 D.新生儿体温调节功能不完善，靠棕色脂肪代偿产热 E.将辐射床置于通风对流的过道，不会影响新生儿的体温,D.新生儿体温调节功能不完善，靠棕色脂肪代偿产热,
465,8,1,2,15. Mutations in homeotic genes often cause (2.0分),A.too many segments. B.the absence of structures. C.the deletion of segments. D.structures to appear in the wrong place.,D.structures to appear in the wrong place.,
466,8,1,2,16. Hox genes encode proteins with which of the following properties? (2.0分),A.Binding of extracellular ligands in the cell membrane B.Transport to lysosome C.Presence of DNA-binding domain D.Secretion from the cell,C.Presence of DNA-binding domain,
467,8,1,2,17. 下列哪个核型式的书写正确：(2.0分),"A.46; XY B.46, XO C.46, XY D.44+XX","C.46, XY",
468,8,1,2,"18. 在本周的PBL学习案例中, 戴安娜ingested Accutane (a retinoic acid derivative) for her acne. Recalling the mechanism of action of retinoic acid, Accutane would act via binding to (2.0分)",A.Intracellular nuclear receptor B.Cell surface membrane receptor C.retinoic acid response element (RARE) D.Tyrosine kinase receptor,A.Intracellular nuclear receptor,
