number,grade,module,week,question_stem,choice,correct_answer
1,6,3,1,1. 关于Swan-Ganz导管，以下哪一项不正确：(3.0分),A.是经左心的导管检查 B.顶端附近有一气囊 C.是经右心及肺动脉的导管检查 D.可反映左心功能 E.能检测PCWP,A.是经左心的导管检查
2,6,3,1,2. 心肌不产生完全强直收缩的原因是心肌(3.0分),A.呈"全或无"收缩 B.肌浆网不发达，储钙量少 C.有自律性 D.心脏是功能上的合胞体 E.有效不应期长,E.有效不应期长
3,6,3,1,3. 在心动周期中，心室充盈主要依靠(4.0分),A.骨骼肌挤压和静脉瓣的共同作用 B.心室舒张的抽吸作用 C.地心引力的作用 D.心房收缩的作用 E.胸膜腔内负压的作用,B.心室舒张的抽吸作用
4,6,3,1,4. 下面关于窦房结细胞动作电位的描述，哪项是不正确的(3.0分),A.阈电位为-40mV B.最大复极电位为-60～-65mV C.无明显的复极1期和平台期 D.除极幅度小于浦肯野细胞 E.0期除极时程比浦肯野细胞短,E.0期除极时程比浦肯野细胞短
5,6,3,1,5. 在心动周期中，心室内压上升速率最快的时期是(3.0分),A.快速射血期 B.心房收缩期 C.减慢射血期 D.等容收缩期 E.快速充盈期,D.等容收缩期
6,6,3,1,6. 心室肌细胞动作电位的平台期在时间上大约相当于心电图的(3.0分),A.P波 B.S-T段 C.T波 D.QRS波 E.Q-T间期,B.S-T段
7,6,3,1,7. 普通心肌细胞动作电位与骨骼肌细胞动作电位的主要区别在于(3.0分),A.幅度大 B.去极化速度快 C.复极短暂 D.动作电位持续时间长 E.有超射现象,D.动作电位持续时间长
8,6,3,1,8. 心室肌的有效不应期一直持续到(3.0分),A.舒张期结束 B.收缩期中间 C.舒张期开始 D.收缩期开始 E.舒张期结束以后,C.舒张期开始
9,6,3,1,9. 心室射血的后负荷是指(3.0分),A.主动脉血压 B.心室内压 C.主动脉脉压 D.总外周阻力 E.中心静脉压,A.主动脉血压
10,6,3,1,10. 心室肌细胞平台期的主要跨膜离子流是(4.0分),A.Ca2+ 外流、K+ 内流 B.Ca2+ 内流、K+外流 C.Na+ 内流、Ca2+ 外流 D.Na+ 内流、K+ 外流 E.K+ 内流、Na+ 外流,B.Ca2+ 内流、K+外流
