,grade,module,week,question_stem,choice,correct_answer
84,6,4,3,1. 早期胃癌是指(2.0分),A.仅限于局部淋巴结转移 B.仅限于粘膜下层以内 C.仅限于肌层以内 D.仅限于浆膜以内 E.仅限于扩散至邻近器官,B.仅限于粘膜下层以内
85,6,4,3,2. 下列病变中癌变可能性较大的是：(1.0分),A.慢性萎缩性胃炎  B.十二指肠溃疡 C.浅表性胃炎 D.肥厚性胃炎 E.疣状胃炎 ,A.慢性萎缩性胃炎 
86,6,4,3,3. 早期胃癌的诊断标准是：(1.0分),A.癌肿浸润未超过浆膜层  B.局部淋巴结无转移  C.癌肿浸润深达肌层  D.癌肿大小不超过2cm E.瘤组织浸润仅限于粘膜层或粘膜下层 ,E.瘤组织浸润仅限于粘膜层或粘膜下层 
87,6,4,3,4. Which of the following is NOT a characteristic of tumor suppressor genes?(2.0分),A.Act dominantly in tumor cells. B.May be associated with loss of heterozygosity in tumors. C.Transmitted as dominant traits in families. D.Associated with "two-hit" model of carcinogenesis.,A.Act dominantly in tumor cells.
88,6,4,3,5. 目前认为与肝癌发生关系较为密切的原因有(2.0分),A.肝硬化  B.乙型病毒性肝炎 C.黄曲霉毒素 D.亚硝胺 E.以上都是,E.以上都是
89,6,4,3,6. 先天性巨结肠的婴儿基本的病理变化是(2.0分),A.神经节细胞缺乏 B.脱髓鞘病变 C.黏膜炎症 D.肠管痉挛 E.副交感神经纤维减少,A.神经节细胞缺乏
90,6,4,3,7. 胃溃疡病变最多见的部位是(1.0分),A.小弯角切迹部  B.小弯区近贲门部 C.大弯近幽门部 D.小弯近幽门部  E.贲门,D.小弯近幽门部 
91,6,4,3,8. 急性普通型肝炎肝细胞常见而普遍的病变是：(2.0分),A.再生 B.萎缩 C.变性 D.坏死 E.化生,C.变性
92,6,4,3,9. 门脉高压症不包括：(1.0分),A.胃肠淤血 B.腹水 C.脾肿大 D.侧支循环形成 E.黄疸 ,E.黄疸 
93,6,4,3,10. 胃癌最主要的转移途径是：(1.0分),A.种植转移 B.淋巴道转移 C.血液转移 D.直接蔓延 E.医源性转移,B.淋巴道转移
94,6,4,3,11. 判断ＧＩＳＴ临床预后最重要的指标是： (1.0分),A.肿瘤大小和细胞分裂数 B.肿瘤部位和年龄 C.肿瘤大小和部位 D.细胞核分裂数和肿瘤细胞多形性的程度 E.细胞核分裂数量和肿瘤细胞中梭形细胞的比例,A.肿瘤大小和细胞分裂数
95,6,4,3,12. 既有肝细胞的大片坏死，又有肝细胞的结节状再生是下列哪型肝炎：(1.0分),A.急性普通型 B.轻度慢性肝炎 C.急性重型 D.亚急性重型 E.中度慢性肝炎,D.亚急性重型
96,6,4,3,13. 以下哪项不常见于先天性巨结肠的婴儿(1.0分),A.腹胀 B.便秘 C.胎便排出延迟 D.呕血 E.消瘦,D.呕血
97,6,4,3,14. 诊断胃十二指肠肿瘤最可靠的诊断方法是： (1.0分),A.上腹部MRI B.上腹部螺旋CT C.胃肠造影 D.胃镜和超声内镜 E.血清肿瘤标记物检测,D.胃镜和超声内镜
98,6,4,3,15. 慢性胃炎是：(1.0分),A.病原微生物引起的胃粘膜的一种非特异性炎症 B.细菌引起的胃粘膜的一种特异性炎症 C.病毒引起的胃粘膜的一种特异性炎症 D.支原体引起的胃粘膜的一种特异性炎症 E.不同原因引起的胃粘膜的一种非特异性炎症,E.不同原因引起的胃粘膜的一种非特异性炎症
99,6,4,3,16. 上消化道大量出血最常见的原因是：(1.0分),A.革囊胃 B.慢性萎缩性胃炎 C.慢性浅表性胃炎 D.溃疡病 E.巨大肥厚性胃炎,D.溃疡病
100,6,4,3,17. Sylvia has recently learned she has cancer. She has a family history of this same type of cancer. Her doctor orders microsatellite instability testing on tumor tissue after Sylvia's surgery to remove her cancer. What inherited cancer syndrome does her doctor suspect in Sylvia's family?(2.0分),A.Hereditary breast and ovarian cancer  B.Li-Fraumeni syndrome  C.Familial adenomatous polyposis (FAP)  D.Hereditary nonpolyposis colon cancer  E.Neurofibromatosis ,D.Hereditary nonpolyposis colon cancer 
101,6,4,3,18. 乙型肝炎病毒毒力一样，但免疫反应过强的人易发生：(1.0分),A.急性普通性肝炎 B.不发病，仅为病毒携带者 C.轻度慢性普通性肝炎 D.中度慢性普通性肝炎 E.重型肝炎,A.急性普通性肝炎
102,6,4,3,19. 先天性肥厚性幽门狭窄的典型呕吐为(2.0分),A.呕吐含粪汁样物 B.呕血 C.出生即有呕吐 D.无胆汁的喷射性呕吐 E.溢乳样,D.无胆汁的喷射性呕吐
103,6,4,3,20. 下列哪几项关于细菌性肠炎的发病机制不正确的(1.0分),A.耐热肠毒素激活鸟苷酸环化酶 B.不耐热肠毒素激活腺苷酸环化酶 C.渗出性腹泻 D.渗透性腹泻 E.抑制Na-和水吸收，促进Cl-分泌,D.渗透性腹泻
