,grade,module,week,question_stem,choice,answer
1,6,8,1,1. 神经系统发育过程中，最后出现的结构是： (2.0分),A.神经板   B.神经沟  C.神经管   D.神经褶,C.神经管  
2,6,8,1,2. 下列小儿运动发育的规律中哪一点是错误的？ (2.0分),A.从中心向周围发育 B.具有头尾规律，即由头向尾发育 C.先有反面的动作发育，再有正面的动作发育 D.由泛化到集中 E.由简单到复杂,C.先有反面的动作发育，再有正面的动作发育
3,6,8,1,3. 儿童和少年期抽动症(2.0分),A.抽动往往是唯一的症状 B.抽动是固定的 C.抽动片刻也不能控制 D.抽动的发作常常有诱因 E.患儿自己不能察觉,D.抽动的发作常常有诱因
4,6,8,1,"4. 关于神经发育过程中的程序性细胞死亡（programmed cell death, PCD)，错误的说法是(2.0分)",A.神经系统发育过程中，凡不能与靶区正确匹配和参与正常神经网络形成的神经元均通过PCD加以清除 B.约20%~50%产生于胚胎时期的神经元在成体发育过程中通过PCD死亡 C.PCD使神经系统的发育达到了机构的高度精细和功能的尽善尽美 D.PCD是由细胞内特定基因程序性表达介导的细胞死亡,B.约20%~50%产生于胚胎时期的神经元在成体发育过程中通过PCD死亡
5,6,8,1,5. 关于股神经，何者是错误的？(2.0分),A.分出人体最长的皮神经 B.支配部分内收肌 C.通过肌腔隙进入股三角 D.进入股三角后立即分为数条肌支和皮支 E.皮支通过隐静脉裂孔分布于股内侧区和股前区,E.皮支通过隐静脉裂孔分布于股内侧区和股前区
6,6,8,1,6. 如患儿此前有一次类似发作史，正确的预防方法(2.0分),A.苯巴比妥肌注 B.苯巴比妥口服 C.地西泮口服 D.地西泮肌注 E.德巴金口服,C.地西泮口服
7,6,8,1,7. 下列哪一项提示养育环境与气质调适不良或拟合不良（Poorer of fit）? (2.0分),A.养育者虽不喜欢孩子的气质特点，仍有能力去忍耐并引导孩子的行为 B.父母对孩子的退缩和反应性强的行为非常焦虑、急躁，且教育指导意见不一致 C.养育者能根据孩子的气质特点作出反应 D.家庭气氛和谐、轻松，对孩子的过激反应能冷静处理 E.养育者理解孩子的行为发育受什么因素影响（并不是完全由后天习得，也不是故意的）,B.父母对孩子的退缩和反应性强的行为非常焦虑、急躁，且教育指导意见不一致
8,6,8,1,8. 股三角内的结构由外向内依次为 (2.0分),A.股神经、股动脉、股静脉、股管 B.股动脉、股神经、股静脉、股管 C.股神经、股管、股动脉、股静脉 D.股管、股动脉、股静脉、股神经 E.股神经、股静脉、股动脉、股管,A.股神经、股动脉、股静脉、股管
9,6,8,1,9. 以下哪些受体对LTP的形成和调节起到重要作用(2.0分),A.GlyR B.ASICs  C.AMPAR D.AMPAR和NMDAR  E.NMDAR,D.AMPAR和NMDAR 
10,6,8,1,10. 15月小儿语言感知发育应是：(2.0分),A.能指出自己身体的3个部位 B.确定声源 C.听懂自己的名字 D.头转向声源 E.懂得"不许",A.能指出自己身体的3个部位
11,6,8,1,11. 凯楷，男孩，27月龄。尚不会有意识的叫"爸爸"、"妈妈"，但有时嘴里会说一些别人听不懂的音，喜一人独自玩耍，尤喜欢电视广告；不会用手去指需要的物体或食物，常拉人表示需要，别人叫他名字时常好像听不到，但对其他声音如手机音乐敏感；很少跟人有目光对视，别人叫他，眼睛不看人；喜一个人转圈玩。体格检查未见异常， EEG 未见异常。 最可能的诊断是: (2.0分),A.听力障碍 B.表达性语言发育障碍 C.儿童孤独症 D.理解性语言发育障碍 E.混合性语言发育障碍,C.儿童孤独症
12,6,8,1,12. 外周神经系统来源于(2.0分),A.神经脊细胞 B.神经管 C.前脑泡  D.后脑泡,A.神经脊细胞
13,6,8,1,13. 儿童学习困难的特征是(2.0分),A.智力低于正常1SD以上 B.技能障碍在入学时已存在 C.成绩中等偏下 D.智力低于正常2SD以上 E.有教育机会被剥夺的病史,B.技能障碍在入学时已存在
14,6,8,1,14. 男孩，1岁半，夏季，头天流清涕，今晨低热，上午体温升高达39.7℃，突发全身强直－阵挛性惊厥，惊厥中面色青紫，意识丧失，持续数分钟自停。再数分钟后患儿完全清醒，下午体温38.5℃，患儿精神良好。病后不吐无泻。体检无病理征。血常规白细胞及分叶球增高，最可能的诊断应是(2.0分),A.癫痫 B.单纯性热性惊厥 C.复杂性热性惊厥 D.化脓性脑膜炎 E.病毒性脑炎,B.单纯性热性惊厥
